,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
双鸭山,52,0,49,3,0,,,,
鸡西,46,0,46,0,0,,,,
齐齐哈尔,44,0,42,1,0,,,,
待确认,40,0,0,0,0,,,,
牡丹江,36,0,36,0,0,,,,
大庆,29,0,26,1,0,,,,
黑河,24,0,24,0,0,,,,
七台河,17,0,17,0,0,,,,
佳木斯,15,0,15,0,0,,,,
鹤岗,5,0,5,0,0,,,,
大兴安岭,3,0,3,0,0,,,,
未明确地区,2,0,56,0,0,,,,
伊春,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
浙江,1316,0,1305,1,0,0.0,,,
温州,504,0,503,1,0,,,,
杭州,181,0,181,0,0,,,,
宁波,157,0,157,0,0,,,,
台州,147,0,147,0,0,,,,
境外输入,97,0,87,0,0,,,,
金华,55,0,55,0,0,,,,
嘉兴,46,0,46,0,0,,,,
绍兴,42,0,42,0,0,,,,
省十里丰监狱,36,0,36,0,0,,,,
丽水,17,0,17,0,0,,,,
衢州,14,0,14,0,0,,,,
湖州,10,0,10,0,0,,,,
舟山,10,0,10,0,0,,,,
境外输入人员,3,0,0,0,0,,,,
划归外省,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
河北,1312,0,868,7,0,0.0,,,
石家庄,893,0,405,1,0,,,,
邢台,94,0,57,1,0,,,,
唐山,58,0,57,1,0,,,,
保定,49,0,48,0,0,,,,
沧州,49,0,46,3,0,,,,
张家口,43,0,43,0,0,,,,
境外输入,36,0,36,0,0,,,,
廊坊,33,0,32,0,0,,,,
邯郸,32,0,32,0,0,,,,
地市待确认,20,0,0,0,0,,,,
秦皇岛,10,0,9,1,0,,,,
衡水,8,0,8,0,0,,,,
承德,7,0,7,0,0,,,,
未明确地区,0,0,88,0,0,,,,
地区待确诊,0,0,0,1,0,,,,
境外输入人员,0,0,0,0,0,,,,
待确认,0,0,87,0,0,,,,
河南,1303,0,1278,22,0,0.0,,,
信阳,274,0,272,2,0,,,,
郑州,157,0,152,5,0,,,,
南阳,156,0,153,3,0,,,,
